編號,姓名,路徑,上場序號,圖寬,圖高,徑寬比,體重,速度,屬性,等級,血量,攻擊力,大絕回合,狀態,Strike
1,水球,iceBall,0,2460,615,0.67,1,35,0,1,200,50,3,0,0
2,火球,fireBall,0,1845,615,0.67,1,35,1,1,200,50,3,0,0
3,草仔粿,riceBall,0,1845,615,0.67,1,35,2,1,200,50,3,0,0
4,番薯球,sweetBall,1,2460,615,0.67,1.0,35.0,0,1,200,30,3,0,0
10,小惡魔,redDevil,2,1845,615,0.67,2.0,50.0,1,3,600,50,7,0,0
13,樹苗,sapling,2,2460,615,0.67,1.5,35.0,2,2,400,40,4,0,0
18,蒼蠅,flyL,2,2460,615,0.67,0.8,55.0,3,4,800,60,5,0,0
21,爆氣鳥,grumpyL,3,3690,615,0.67,0.8,55.0,3,5,1000,70,7,0,0
25,骷髏頭,skull,2,1845,615,0.67,2.0,50.0,4,4,800,50,6,0,0
20,飛貓,flyCatL,2,2460,615,0.67,0.8,55.0,3,5,1000,70,7,0,0
27,惡魔骷髏,devilSkull,3,1845,615,0.67,2.0,50.0,4,5,1000,70,7,0,0
